Categoria,Partita,Arbitro,Ruolo,Sezione
"ECCELLENZA — Girone FI — Gara","ANGELANA   1930 - NARNESE  CALCIO","Diego Bartocci","Arbitro 2","Gubbio"
"COPPA ITALIA ECCELLENZA E PROM. — Girone B — Gara","CALZOLARO - PONTEVALLECEPPI RIPA","Akram El Inani","Arbitro 1","Gubbio"
"COPPA ITALIA ECCELLENZA E PROM. — Girone B — Gara","CALZOLARO - PONTEVALLECEPPI RIPA","Antonio Jose Mileno Dolgetta","Arbitro 2","Gubbio"
"COPPA ITALIA ECCELLENZA E PROM. — Girone B — Gara","CALZOLARO - PONTEVALLECEPPI RIPA","Mattia Campanino","Arbitro 3","Gubbio"
"COPPA ITALIA ECCELLENZA E PROM. — Girone C — Gara","PIERANTONIO SPORT - OLYMPIATHYRUS S. VALENTINO","Antonio Jose Mileno Dolgetta","Arbitro 2","Gubbio"
"COPPA ITALIA ECCELLENZA E PROM. — Girone D — Gara","DERUTA CALCIO SAN NICOLO - CASTEL DEL PIANO  1966","Federico Peruzzi","Arbitro 1","Gubbio"
"COPPA ITALIA ECCELLENZA E PROM. — Girone E — Gara","ASD FOOTBALL CLUB GUALDO - ATLETICO FOSSATO","Diego Bartocci","Arbitro 2","Gubbio"
"COPPA ITALIA ECCELLENZA E PROM. — Girone E — Gara","GRIFO SIGILLO - CERQUETO  CALCIO","Fabio Casagrande","Arbitro 1","Gubbio"
"COPPA ITALIA ECCELLENZA E PROM. — Girone E — Gara","GRIFO SIGILLO - CERQUETO  CALCIO","Mattia Ragni","Arbitro 3","Gubbio"
"COPPA REGIONALE 1° CATEGORIA — Girone A — Gara","CERBARA - TIGROTTI MORRA","Riccardo Menichini","Arbitro 1","Gubbio"
"COPPA REGIONALE 1° CATEGORIA — Girone B — Gara","FC CASTELLO SANSECONDO - VALDIPIERLE","Mohssine Bouziane","Arbitro 1","Gubbio"
"COPPA REGIONALE 1° CATEGORIA — Girone C — Gara","REAL PADULE - FRATTICIOLA SELVATICA","Riccardo Menichini","Arbitro 1","Gubbio"
"COPPA REGIONALE 1° CATEGORIA — Girone D — Gara","PARLESCA - VALFABBRICA 1916","Alessandro Moriconi","Arbitro 1","Gubbio"
"COPPA REGIONALE 1° CATEGORIA — Girone E — Gara","SAN SISTO 2023 - MADONNA ALTA PERUGIA","Cristian Gubbini","Arbitro 1","Gubbio"
"COPPA REGIONALE 1° CATEGORIA — Girone H — Gara","SETTEVALLI PILA - OLIMPIA UMBRIA","Cristian Gubbini","Arbitro 1","Gubbio"
"CAN D › COPPA ITALIA SERIE D — Girone 23 — Gara","MACERATESE 1922 A.C.D - RECANATESE ASD","Filippo Nardoni","Arbitro 2","Gubbio"
